Time,Zone,Entry,Exit,Total
2026-03-12 20:51:13.638942,All,9,6,1
2026-03-12 20:51:13.746954,All,9,6,2
2026-03-12 20:51:13.862405,All,10,6,3
2026-03-12 20:51:13.965333,All,10,6,1
2026-03-12 20:51:14.089840,All,10,6,3
2026-03-12 20:51:14.195121,All,10,6,3
2026-03-12 20:51:14.317320,All,10,7,1
2026-03-12 20:51:14.423276,All,10,7,1
2026-03-12 20:51:14.527959,All,10,7,0
2026-03-12 20:51:14.651172,All,10,7,2
2026-03-12 20:51:14.765321,All,10,7,1
2026-03-12 20:51:14.996415,All,10,8,1
2026-03-12 20:51:15.113872,All,10,8,0
2026-03-12 20:51:15.229627,All,10,8,2
2026-03-12 20:51:15.356057,All,10,8,2
2026-03-12 20:51:15.466923,All,10,8,2
2026-03-12 20:51:15.577449,All,10,8,1
2026-03-12 20:51:15.928715,All,10,8,1
2026-03-12 20:51:16.062670,All,10,8,1
2026-03-12 20:51:16.205028,All,10,8,0
2026-03-12 20:51:16.332889,All,10,8,1
2026-03-12 20:51:16.481035,All,10,8,1
2026-03-12 20:51:16.608589,All,10,8,2
2026-03-12 20:51:16.734697,All,10,8,1
2026-03-12 20:51:16.843691,All,10,8,0
2026-03-12 20:51:17.061633,All,10,8,1
2026-03-12 20:51:17.210222,All,10,8,0
2026-03-12 20:51:17.376961,All,10,8,0
2026-03-12 20:51:17.516964,All,10,8,0
2026-03-12 20:51:17.626136,All,10,8,1
2026-03-12 20:51:17.729397,All,10,8,1
2026-03-12 20:51:17.854550,All,10,9,1
2026-03-12 20:51:17.992757,All,10,9,0
2026-03-12 20:51:18.162789,All,10,9,2
2026-03-12 20:51:18.293776,All,10,9,1
2026-03-12 20:51:18.419961,All,10,9,3
2026-03-12 20:51:18.536508,All,10,9,2
2026-03-12 20:51:18.668732,All,10,9,0
2026-03-12 20:51:18.780123,All,10,9,0
2026-03-12 20:51:18.896571,All,10,9,2
2026-03-12 20:51:19.014104,All,10,9,0
2026-03-12 20:51:19.147151,All,10,9,2
2026-03-12 20:51:19.260033,All,10,9,2
2026-03-12 20:51:19.378701,All,10,9,3
2026-03-12 20:51:19.499818,All,10,9,0
2026-03-12 20:51:19.608363,All,10,9,0
2026-03-12 20:51:19.752361,All,10,9,1
2026-03-12 20:51:19.862892,All,10,9,0
2026-03-12 20:51:19.993303,All,10,9,2
2026-03-12 20:51:20.108808,All,11,9,1
2026-03-12 20:51:20.223319,All,11,9,0
2026-03-12 20:51:20.338769,All,11,9,0
2026-03-12 20:51:20.461830,All,11,9,0
2026-03-12 20:51:20.575081,All,11,9,0
2026-03-12 20:51:20.681412,All,11,9,0
2026-03-12 20:51:20.808858,All,11,9,2
2026-03-12 20:51:20.955120,All,11,9,1
2026-03-12 20:51:21.101023,All,11,9,1
2026-03-12 20:51:21.224713,All,11,9,2
2026-03-12 20:51:21.373406,All,11,9,2
2026-03-12 20:51:21.490701,All,11,9,1
2026-03-12 20:51:21.609343,All,11,9,2
2026-03-12 20:51:21.718445,All,11,9,2
2026-03-12 20:51:21.840718,All,11,9,3
2026-03-12 20:51:21.946193,All,11,9,2
2026-03-12 20:51:22.076915,All,11,9,2
2026-03-12 20:51:22.187560,All,11,9,0
2026-03-12 20:51:22.296346,All,11,9,1
2026-03-12 20:51:22.427327,All,11,9,2
2026-03-12 20:51:22.529901,All,11,9,1
2026-03-12 20:51:22.668574,All,11,9,1
2026-03-12 20:51:22.778768,All,11,9,1
2026-03-12 20:51:22.904796,All,11,9,0
2026-03-12 20:51:23.007528,All,11,9,1
2026-03-12 20:51:23.133156,All,11,9,0
2026-03-12 20:51:23.248180,All,11,9,0
2026-03-12 20:51:23.358444,All,11,9,1
2026-03-12 20:51:23.461385,All,11,9,0
2026-03-12 20:51:23.558524,All,11,9,2
2026-03-12 20:51:23.679816,All,11,9,2
2026-03-12 20:51:23.791235,All,11,9,2
2026-03-12 20:51:23.911590,All,11,9,3
2026-03-12 20:51:24.024299,All,11,9,4
2026-03-12 20:51:24.210309,All,11,9,1
2026-03-12 20:51:24.322410,All,11,9,2
2026-03-12 20:51:24.440731,All,11,10,2
2026-03-12 20:51:24.553867,All,11,10,1
2026-03-12 20:51:24.666365,All,11,10,1
2026-03-12 20:51:24.803615,All,12,10,1
2026-03-12 20:51:24.912300,All,12,10,1
2026-03-12 20:51:25.033876,All,12,10,1
2026-03-12 20:51:25.144330,All,12,10,1
2026-03-12 20:51:25.260575,All,12,10,1
2026-03-12 20:51:25.368285,All,12,10,1
2026-03-12 20:51:25.478610,All,12,10,2
2026-03-12 20:51:25.596297,All,12,10,2
2026-03-12 20:51:25.714294,All,12,10,1
2026-03-12 20:51:25.842750,All,12,10,2
2026-03-12 20:51:25.957954,All,12,10,3
2026-03-12 20:51:26.090649,All,12,11,2
2026-03-12 20:51:26.215198,All,13,11,2
2026-03-12 20:51:26.342209,All,13,11,3
2026-03-12 20:51:26.460736,All,13,12,3
2026-03-12 20:51:26.579470,All,13,12,2
2026-03-12 20:51:26.695917,All,13,12,1
2026-03-12 20:51:26.811613,All,13,12,1
2026-03-12 20:51:26.927285,All,13,12,1
2026-03-12 20:51:27.037410,All,13,12,1
2026-03-12 20:51:27.161380,All,13,12,1
2026-03-12 20:51:27.280504,All,13,12,1
2026-03-12 20:51:27.400204,All,13,12,1
2026-03-12 20:51:27.533099,All,13,12,1
2026-03-12 20:51:27.702733,All,13,12,1
2026-03-12 20:51:27.863451,All,13,12,2
2026-03-12 20:51:28.033326,All,13,12,2
2026-03-12 20:51:28.184328,All,13,12,3
2026-03-12 20:51:28.312306,All,13,13,2
2026-03-12 20:51:28.445429,All,13,13,4
2026-03-12 20:51:28.554732,All,13,13,2
2026-03-12 20:51:28.666690,All,13,13,3
2026-03-12 20:51:28.791961,All,13,14,4
2026-03-12 20:51:28.906294,All,13,14,3
2026-03-12 20:51:29.024593,All,13,14,2
2026-03-12 20:51:29.131658,All,13,14,2
2026-03-12 20:51:29.245090,All,13,14,3
2026-03-12 20:51:29.359769,All,13,14,2
2026-03-12 20:51:29.505276,All,13,14,2
2026-03-12 20:51:29.614288,All,13,14,2
2026-03-12 20:51:29.722914,All,13,14,0
2026-03-12 20:51:29.846547,All,13,14,2
2026-03-12 20:51:29.956982,All,13,14,4
2026-03-12 20:51:30.072362,All,13,14,2
2026-03-12 20:51:30.179214,All,13,14,4
2026-03-12 20:51:30.291314,All,13,14,3
2026-03-12 20:51:30.410410,All,13,15,4
2026-03-12 20:51:30.524278,All,14,16,5
2026-03-12 20:51:30.645474,All,15,16,4
2026-03-12 20:51:30.759232,All,15,16,3
2026-03-12 20:51:30.913337,All,15,16,3
2026-03-12 20:51:31.047134,All,15,16,1
2026-03-12 20:51:31.181101,All,15,16,3
2026-03-12 20:51:31.311687,All,15,16,3
2026-03-12 20:51:31.440396,All,15,16,2
2026-03-12 20:51:31.551438,All,15,16,1
2026-03-12 20:51:31.673784,All,15,17,2
2026-03-12 20:51:31.788975,All,15,17,1
2026-03-12 20:51:31.907444,All,15,17,2
2026-03-12 20:51:32.024501,All,15,17,2
2026-03-12 20:51:32.140566,All,15,18,2
2026-03-12 20:51:32.263661,All,16,18,2
2026-03-12 20:51:32.379964,All,16,18,1
2026-03-12 20:51:32.500886,All,16,18,0
2026-03-12 20:51:32.613925,All,16,18,0
2026-03-12 20:51:32.739230,All,16,18,0
2026-03-12 20:51:32.858705,All,16,18,1
2026-03-12 20:51:32.974845,All,16,18,0
2026-03-12 20:51:33.087893,All,16,18,2
2026-03-12 20:51:33.201770,All,16,18,1
2026-03-12 20:51:33.326627,All,16,18,2
2026-03-12 20:51:33.443484,All,16,18,3
2026-03-12 20:51:33.565545,All,16,19,3
2026-03-12 20:51:33.679604,All,16,19,4
2026-03-12 20:51:33.807156,All,16,19,2
2026-03-12 20:51:33.929913,All,16,19,1
2026-03-12 20:51:34.056835,All,16,19,3
2026-03-12 20:51:34.175425,All,16,19,4
2026-03-12 20:51:34.294960,All,17,20,5
2026-03-12 20:51:34.431992,All,17,20,1
2026-03-12 20:51:34.547735,All,17,20,4
